Precinct Code,Contest Title,Candidate Name,Party Code,Votes
119,United States Senator US REPRESENTATIVE DISTRICT 31,"Emily ""Spicybrown"" Sanchez",GRN,20
119,United States Senator US REPRESENTATIVE DISTRICT 31,John Cornyn,REP,642
119,United States Senator US REPRESENTATIVE DISTRICT 31,Rebecca Paddock,LIB,32
119,United States Senator US REPRESENTATIVE DISTRICT 31,WRITE-IN,NON,0
119,"US Representative, District 31",John Carter,REP,643
119,"US Representative, District 31",Louie Minor,DEM,387
119,"US Representative, District 31",Scott J. Ballard,LIB,40
122,ACC Prop 1 AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,366
122,ACC Prop 1 AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,393
122,ACC Prop 2 AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,346
122,ACC Prop 2 AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,411
122,ACC Prop AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,432
122,ACC Prop AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,318
122,Attorney General,Jamar Osborne,GRN,8
122,Attorney General,Jamie Balagia,LIB,38
122,Attorney General,Ken Paxton,REP,484
122,Attorney General,Sam Houston,DEM,278
122,"Brushy Creek MUD, Director, Place 3",Jim Donaldson,NON,38
122,"Brushy Creek MUD, Director, Place 3",Kim Filiatrault,NON,34
122,"Chief Justice, 3rd Court of Appeals Dist",Diane Henson,DEM,281
122,"Chief Justice, 3rd Court of Appeals Dist",Jeff Rose,REP,507
122,"Chief Justice, Supreme Court",Nathan Hecht,REP,497
122,"Chief Justice, Supreme Court",Tom Oxford,LIB,35
122,"Chief Justice, Supreme Court",William Moody,DEM,267
122,Commissioner of Agriculture,David (Rocky) Palmquist,LIB,30
122,Commissioner of Agriculture,Jim Hogan,DEM,254
122,Commissioner of Agriculture,Kenneth Kendrick,GRN,18
122,Commissioner of Agriculture,Sid Miller,REP,486
122,Commissioner of the General Land Office,George P. Bush,REP,514
122,Commissioner of the General Land Office,John Cook,DEM,243
122,Commissioner of the General Land Office,Justin Knight,LIB,32
122,Commissioner of the General Land Office,Valerie Alessi,GRN,12
122,Comptroller of Public Accounts,Ben Sanders,LIB,30
122,Comptroller of Public Accounts,Deb Shafto,GRN,10
122,Comptroller of Public Accounts,Glenn Hegar,REP,490
122,Comptroller of Public Accounts,Mike Collier,DEM,266
122,County Judge,Dan A. Gattis,REP,521
122,County Judge,Michael H. Custer,DEM,270
122,"District 6, Austin City Council",Don Zimmerman,NON,1
122,"District 6, Austin City Council","James ""Jimmy"" Flannigan",NON,0
122,"District 6, Austin City Council",Jay Wiley,NON,1
122,"District 6, Austin City Council","Lloyd ""Pete"" Phillips",NON,0
122,"District 6, Austin City Council",Mackenzie Kelly,NON,0
122,"District 6, Austin City Council",Matt Stillwell,NON,0
122,"District Judge, 277th Judicial District",Stacey Mathews,REP,540
122,"District Judge, 368th Judicial District",Rick J. Kennon,REP,514
122,Governor,Brandon Parmer,GRN,1
122,Governor,Greg Abbott,REP,500
122,Governor,Kathie Glass,LIB,19
122,Governor,Wendy R. Davis,DEM,297
122,Governor,WRITE-IN,NON,0
122,"Judge, Court of Criminal Appeals, Pl. 3",Bert Richardson,REP,487
122,"Judge, Court of Criminal Appeals, Pl. 3",John Granberg,DEM,256
122,"Judge, Court of Criminal Appeals, Pl. 3",Mark W. Bennett,LIB,41
122,"Judge, Court of Criminal Appeals, Pl. 4",Judith Sanders-Castro,GRN,97
122,"Judge, Court of Criminal Appeals, Pl. 4",Kevin Patrick Yeary,REP,513
122,"Judge, Court of Criminal Appeals, Pl. 4",Quanah Parker,LIB,93
122,"Judge, Court of Criminal Appeals, Pl. 9",David Newell,REP,519
122,"Judge, Court of Criminal Appeals, Pl. 9",George Joseph Altgelt,GRN,85
122,"Judge, Court of Criminal Appeals, Pl. 9","William Bryan Strange, III",LIB,93
122,"Justice of the Peace, Precinct No. 1",Dain Johnson,REP,519
122,"Justice of the Peace, Precinct No. 1",Nick Lealos,DEM,263
122,"Justice, Supreme Court, Place 6",Jeff Brown,REP,492
122,"Justice, Supreme Court, Place 6",Lawrence Edward Meyers,DEM,264
122,"Justice, Supreme Court, Place 6",Mark Ash,LIB,37
122,"Justice, Supreme Court, Place 7",Charles E. Waterbury,GRN,10
122,"Justice, Supreme Court, Place 7",Don Fulton,LIB,35
122,"Justice, Supreme Court, Place 7",Gina Benavides,DEM,263
122,"Justice, Supreme Court, Place 7",Jeff Boyd,REP,488
122,"Justice, Supreme Court, Place 8",Jim Chisolm,GRN,95
122,"Justice, Supreme Court, Place 8",Phil Johnson,REP,524
122,"Justice, Supreme Court, Place 8",RS Roberto Koelsch,LIB,83
122,Lieutenant Governor,Chandrakantha Courtney,GRN,6
122,Lieutenant Governor,Dan Patrick,REP,479
122,Lieutenant Governor,Leticia Van de Putte,DEM,285
122,Lieutenant Governor,Robert D. Butler,LIB,38
122,"Mayor, City of Austin",David Orshalick,NON,0
122,"Mayor, City of Austin",Mary Catherine Krenek,NON,0
122,"Mayor, City of Austin",Mike Martinez,NON,0
122,"Mayor, City of Austin",Randall Stephens,NON,0
122,"Mayor, City of Austin",Ronald Culver,NON,0
122,"Mayor, City of Austin",Sheryl Cole,NON,0
122,"Mayor, City of Austin",Steve Adler,NON,2
122,"Mayor, City of Austin",Todd Phelps,NON,0
122,Place 1 ACC Trustee AUSTIN COMMUNITY COLLEGE,Mark J. Williams,NON,213
122,Place 1 ACC Trustee AUSTIN COMMUNITY COLLEGE,Tim Mahoney,NON,185
122,"Place 1, Round Rock ISD Board of Trustee",Claudio Cruz,NON,177
122,"Place 1, Round Rock ISD Board of Trustee",Nikki Gonzales,NON,308
122,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Bob Allen,NON,106
122,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Gigi Edwards Bryant,NON,79
122,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Jade Chang Sheppard,NON,68
122,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Jonathan Mathers,NON,40
122,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Michael J. Lewis,NON,57
122,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Robb J. Misso,NON,29
122,"Place 3, Round Rock ISD Board of Trustee",Bryan Black,NON,229
122,"Place 3, Round Rock ISD Board of Trustee",Diane Cox,NON,270
122,"Place 5, Round Rock ISD Board of Trustee",Allen McKee,NON,189
122,"Place 5, Round Rock ISD Board of Trustee",Paul K. Emerson,NON,148
122,"Place 5, Round Rock ISD Board of Trustee",Suzi David,NON,137
122,"Place 6, Round Rock ISD Board of Trustee",Paul J. Tisch,NON,328
122,"Place 6, Round Rock ISD Board of Trustee",Tony A. Pitts,NON,131
122,Railroad Commissioner,Mark A. Miller,LIB,31
122,Railroad Commissioner,Martina Salinas,GRN,15
122,Railroad Commissioner,Ryan Sitton,REP,482
122,Railroad Commissioner,Steve Brown,DEM,265
122,"State Representative, District 52",Chris Osborn,DEM,265
122,"State Representative, District 52",Irene Johnson,LIB,35
122,"State Representative, District 52",Larry Gonzales,REP,494
122,"State Senator, District 5",Charles Schwertner,REP,498
122,"State Senator, District 5",Joel Shapiro,DEM,268
122,"State Senator, District 5",Matthew Whittington,LIB,29
122,STRAIGHT PARTY,DEMOCRATIC PARTY,DEM,135
122,STRAIGHT PARTY,GREEN PARTY,GRN,1
122,STRAIGHT PARTY,LIBERTARIAN PARTY,LIB,7
122,STRAIGHT PARTY,REPUBLICAN PARTY,REP,282
122,TX Prop 1,Against (En Contra),NON,205
122,TX Prop 1,For (A Favor),NON,528
122,United States Senator US REPRESENTATIVE DISTRICT 31,David M. Alameel,DEM,261
122,United States Senator US REPRESENTATIVE DISTRICT 31,"Emily ""Spicybrown"" Sanchez",GRN,3
122,United States Senator US REPRESENTATIVE DISTRICT 31,John Cornyn,REP,515
122,United States Senator US REPRESENTATIVE DISTRICT 31,Rebecca Paddock,LIB,30
122,United States Senator US REPRESENTATIVE DISTRICT 31,WRITE-IN,NON,0
122,"US Representative, District 31",John Carter,REP,512
122,"US Representative, District 31",Louie Minor,DEM,255
122,"US Representative, District 31",Scott J. Ballard,LIB,30
135,ACC Prop 1 AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,219
135,ACC Prop 1 AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,268
135,ACC Prop 2 AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,186
135,ACC Prop 2 AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,304
135,ACC Prop AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,252
135,ACC Prop AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,239
135,Attorney General,Jamar Osborne,GRN,7
135,Attorney General,Jamie Balagia,LIB,48
135,Attorney General,Ken Paxton,REP,209
135,Attorney General,Sam Houston,DEM,274
135,"Chief Justice, 3rd Court of Appeals Dist",Diane Henson,DEM,301
135,"Chief Justice, 3rd Court of Appeals Dist",Jeff Rose,REP,225
135,"Chief Justice, Supreme Court",Nathan Hecht,REP,215
135,"Chief Justice, Supreme Court",Tom Oxford,LIB,33
135,"Chief Justice, Supreme Court",William Moody,DEM,284
135,Commissioner of Agriculture,David (Rocky) Palmquist,LIB,31
135,Commissioner of Agriculture,Jim Hogan,DEM,277
135,Commissioner of Agriculture,Kenneth Kendrick,GRN,17
135,Commissioner of Agriculture,Sid Miller,REP,205
135,Commissioner of the General Land Office,George P. Bush,REP,219
135,Commissioner of the General Land Office,John Cook,DEM,271
135,Commissioner of the General Land Office,Justin Knight,LIB,36
135,Commissioner of the General Land Office,Valerie Alessi,GRN,13
135,Comptroller of Public Accounts,Ben Sanders,LIB,36
135,Comptroller of Public Accounts,Deb Shafto,GRN,9
135,Comptroller of Public Accounts,Glenn Hegar,REP,213
135,Comptroller of Public Accounts,Mike Collier,DEM,276
135,County Judge,Dan A. Gattis,REP,229
135,County Judge,Michael H. Custer,DEM,290
135,"District Judge, 277th Judicial District",Stacey Mathews,REP,282
135,"District Judge, 368th Judicial District",Rick J. Kennon,REP,274
135,Governor,Brandon Parmer,GRN,1
135,Governor,Greg Abbott,REP,228
135,Governor,Kathie Glass,LIB,14
135,Governor,Wendy R. Davis,DEM,300
135,Governor,WRITE-IN,NON,1
135,"Judge, Court of Criminal Appeals, Pl. 3",Bert Richardson,REP,213
135,"Judge, Court of Criminal Appeals, Pl. 3",John Granberg,DEM,279
135,"Judge, Court of Criminal Appeals, Pl. 3",Mark W. Bennett,LIB,33
135,"Judge, Court of Criminal Appeals, Pl. 4",Judith Sanders-Castro,GRN,98
135,"Judge, Court of Criminal Appeals, Pl. 4",Kevin Patrick Yeary,REP,231
135,"Judge, Court of Criminal Appeals, Pl. 4",Quanah Parker,LIB,109
135,"Judge, Court of Criminal Appeals, Pl. 9",David Newell,REP,241
135,"Judge, Court of Criminal Appeals, Pl. 9",George Joseph Altgelt,GRN,84
135,"Judge, Court of Criminal Appeals, Pl. 9","William Bryan Strange, III",LIB,113
135,"Justice of the Peace, Precinct No. 1",Dain Johnson,REP,241
135,"Justice of the Peace, Precinct No. 1",Nick Lealos,DEM,282
135,"Justice, Supreme Court, Place 6",Jeff Brown,REP,217
135,"Justice, Supreme Court, Place 6",Lawrence Edward Meyers,DEM,272
135,"Justice, Supreme Court, Place 6",Mark Ash,LIB,40
135,"Justice, Supreme Court, Place 7",Charles E. Waterbury,GRN,2
135,"Justice, Supreme Court, Place 7",Don Fulton,LIB,32
135,"Justice, Supreme Court, Place 7",Gina Benavides,DEM,287
135,"Justice, Supreme Court, Place 7",Jeff Boyd,REP,210
135,"Justice, Supreme Court, Place 8",Jim Chisolm,GRN,99
135,"Justice, Supreme Court, Place 8",Phil Johnson,REP,244
135,"Justice, Supreme Court, Place 8",RS Roberto Koelsch,LIB,97
135,Lieutenant Governor,Chandrakantha Courtney,GRN,5
135,Lieutenant Governor,Dan Patrick,REP,214
135,Lieutenant Governor,Leticia Van de Putte,DEM,295
135,Lieutenant Governor,Robert D. Butler,LIB,28
135,Place 1 ACC Trustee AUSTIN COMMUNITY COLLEGE,Mark J. Williams,NON,136
135,Place 1 ACC Trustee AUSTIN COMMUNITY COLLEGE,Tim Mahoney,NON,148
135,"Place 1, Round Rock ISD Board of Trustee",Claudio Cruz,NON,134
135,"Place 1, Round Rock ISD Board of Trustee",Nikki Gonzales,NON,195
135,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Bob Allen,NON,76
135,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Gigi Edwards Bryant,NON,68
135,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Jade Chang Sheppard,NON,69
135,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Jonathan Mathers,NON,27
135,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Michael J. Lewis,NON,34
135,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Robb J. Misso,NON,12
135,"Place 3, Round Rock ISD Board of Trustee",Bryan Black,NON,97
135,"Place 3, Round Rock ISD Board of Trustee",Diane Cox,NON,241
135,"Place 5, Round Rock ISD Board of Trustee",Allen McKee,NON,65
135,"Place 5, Round Rock ISD Board of Trustee",Paul K. Emerson,NON,106
135,"Place 5, Round Rock ISD Board of Trustee",Suzi David,NON,159
